"","Ho","Hs","Ht","Dst","Htp","Dstp","Fst","Fstp","Fis","Dest"
"X204_38",0,0.0736,0.0725,-0.0011,0.0714,-0.0021,-0.0146,-0.0297,1,-0.0023
"X212_14",0.0278,0.0282,0.028,-2e-04,0.0278,-4e-04,-0.0075,-0.0152,0.0149,-4e-04
"X215_36",0.2,0.2458,0.4766,0.2308,0.7074,0.4616,0.4843,0.6525,0.1863,0.612
"X217_41",0.3423,0.5007,0.4888,-0.0119,0.4769,-0.0238,-0.0244,-0.0499,0.3164,-0.0477
"X219_20",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X220_23",0.05,0.1063,0.1031,-0.0031,0.1,-0.0063,-0.0305,-0.0629,0.5296,-0.007
"X17995_27",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X231_15",0.3125,0.3746,0.4561,0.0814,0.5375,0.1629,0.1786,0.303,0.1658,0.2605
"X17998_13",0.0625,0.1163,0.1206,0.0044,0.125,0.0087,0.0361,0.0697,0.4625,0.0099
"X234_32",0.0667,0.0653,0.066,7e-04,0.0667,0.0014,0.0105,0.0207,-0.0212,0.0015
"X239_32",0.125,0.1603,0.1739,0.0136,0.1875,0.0272,0.0782,0.1451,0.2202,0.0324
"X243_12",0.2853,0.3099,0.3917,0.0818,0.4735,0.1636,0.2088,0.3455,0.0795,0.2371
"X264_37",0.1429,0.22,0.2529,0.0329,0.2857,0.0657,0.1299,0.23,0.3506,0.0842
"X18003_20",0.2588,0.2754,0.273,-0.0024,0.2706,-0.0048,-0.0088,-0.0178,0.0602,-0.0066
"X274_41",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X152_12",0.0278,0.0833,0.0833,0,0.0833,1e-04,4e-04,7e-04,0.6664,1e-04
"X165_19",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X167_37",0.0312,0.1857,0.2022,0.0165,0.2187,0.0331,0.0818,0.1513,0.8317,0.0406
"X170_36",0.25,0.2361,0.2931,0.0569,0.35,0.1139,0.1942,0.3253,-0.0587,0.1491
"X172_39",0.1167,0.1144,0.1122,-0.0022,0.11,-0.0044,-0.0196,-0.0399,-0.0199,-0.005
"X178_7",0.2516,0.2894,0.3685,0.0792,0.4477,0.1584,0.2148,0.3537,0.1304,0.2228
"X182_20",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X190_38",0.0333,0.0967,0.0983,0.0017,0.1,0.0033,0.0169,0.0333,0.6552,0.0037
"X194_6",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X200_10",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X202_29",0.0278,0.2168,0.2272,0.0105,0.2377,0.0209,0.046,0.088,0.8718,0.0267
"X279_18",0.0625,0.1706,0.1791,0.0084,0.1875,0.0169,0.0471,0.0899,0.6337,0.0203
"X290_33",0.0714,0.0697,0.0705,9e-04,0.0714,0.0018,0.0125,0.0248,-0.0254,0.0019
"X294_40",0.2714,0.4339,0.4955,0.0616,0.5571,0.1232,0.1243,0.2212,0.3745,0.2177
"X18015_36",0.1111,0.2377,0.4522,0.2145,0.6667,0.429,0.4743,0.6435,0.5326,0.5627
"X299_36",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X306_41",0.1071,0.0996,0.1034,0.0038,0.1071,0.0075,0.0364,0.0703,-0.0756,0.0084
"X308_15",0.3444,0.2936,0.2898,-0.0037,0.2861,-0.0075,-0.0129,-0.0261,-0.1733,-0.0106
"X311_8",0.1,0.1695,0.1847,0.0153,0.2,0.0305,0.0826,0.1526,0.41,0.0367
"X317_13",0.25,0.3182,0.4312,0.113,0.5441,0.2259,0.262,0.4152,0.2143,0.3313
"X318_38",0.0833,0.2697,0.4265,0.1568,0.5833,0.3137,0.3677,0.5377,0.691,0.4295
"X328_22",0.3542,0.4066,0.4116,0.0051,0.4167,0.0101,0.0123,0.0243,0.1289,0.017
"X333_32",0.05,0.2012,0.2256,0.0244,0.25,0.0488,0.1081,0.1952,0.7515,0.0611
"X336_11",0.1,0.2584,0.3292,0.0708,0.4,0.1416,0.215,0.3539,0.6131,0.1909
"X342_12",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X18025_11",0,0.0984,0.0992,8e-04,0.1,0.0016,0.0079,0.0156,1,0.0017
"X345_14",0.1111,0.1027,0.1069,0.0042,0.1111,0.0084,0.0394,0.0758,-0.082,0.0094
"X18028_17",0.2,0.178,0.1835,0.0054,0.1889,0.0108,0.0295,0.0574,-0.1233,0.0132
"X18031_11",0.1,0.0936,0.0968,0.0032,0.1,0.0064,0.0329,0.0636,-0.068,0.007
"X18030_24",0,0.0679,0.0673,-6e-04,0.0667,-0.0012,-0.009,-0.0182,1,-0.0013
"X365_34",0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
"X373_15",0.6722,0.5111,0.5056,-0.0056,0.5,-0.0111,-0.011,-0.0222,-0.3152,-0.0227
"X375_41",0.1071,0.0996,0.1034,0.0038,0.1071,0.0075,0.0364,0.0703,-0.0756,0.0084
"X18040_25",0.0667,0.2472,0.2903,0.0431,0.3333,0.0862,0.1484,0.2585,0.7303,0.1145
"X382_29",0.1389,0.2644,0.3683,0.1039,0.4722,0.2078,0.2821,0.4401,0.4747,0.2825
"X392_19",0.1429,0.1775,0.1959,0.0184,0.2143,0.0368,0.094,0.1719,0.195,0.0448
"X394_32",0.0955,0.0954,0.0932,-0.0023,0.0909,-0.0045,-0.0243,-0.0499,-1e-04,-0.005
"X411_34",0.0357,0.0361,0.0359,-2e-04,0.0357,-4e-04,-0.0054,-0.0109,0.0108,-4e-04
"X18046_24",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X418_34",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X463_41",0.1071,0.0996,0.1034,0.0038,0.1071,0.0075,0.0364,0.0703,-0.0756,0.0084
"X18047_38",0.0294,0.0866,0.0874,8e-04,0.0882,0.0017,0.0096,0.019,0.6602,0.0018
"X428_35",0.275,0.4013,0.4038,0.0025,0.4062,0.005,0.0062,0.0122,0.3147,0.0083
"X453_13",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X456_6",0,0.0841,0.0837,-4e-04,0.0833,-8e-04,-0.0046,-0.0092,1,-8e-04
"X459_30",0.0333,0.0336,0.0335,-2e-04,0.0333,-3e-04,-0.0045,-0.0091,0.009,-3e-04
"X461_31",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X467_27",0.1382,0.1819,0.1821,2e-04,0.1824,5e-04,0.0013,0.0026,0.24,6e-04
"X485_16",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X486_30",0.3072,0.2901,0.3951,0.1049,0.5,0.2099,0.2656,0.4197,-0.0587,0.2956
"X503_39",0.0833,0.0832,0.0816,-0.0016,0.08,-0.0032,-0.0195,-0.0398,-0.0018,-0.0035
"X504_35",0,0.0679,0.0673,-6e-04,0.0667,-0.0012,-0.009,-0.0182,1,-0.0013
"X617_25",0.1111,0.1827,0.2025,0.0197,0.2222,0.0395,0.0975,0.1777,0.3919,0.0483
"X626_22",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X641_16",0.2308,0.2225,0.2651,0.0426,0.3077,0.0852,0.1607,0.2769,-0.0372,0.1096
"X18092_33",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X643_31",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X648_14",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X647_38",0.125,0.176,0.1921,0.0162,0.2083,0.0324,0.0842,0.1554,0.2896,0.0393
"X649_25",0.0667,0.0648,0.0658,9e-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
"X653_13",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X18097_8",0.0625,0.1195,0.1222,0.0028,0.125,0.0055,0.0226,0.0441,0.4769,0.0063
"X18098_12",0.0357,0.0361,0.0359,-2e-04,0.0357,-4e-04,-0.0054,-0.0109,0.0108,-4e-04
"X667_16",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X18102_25",0,0.1128,0.1152,0.0024,0.1176,0.0049,0.0212,0.0415,1,0.0055
"X671_6",0.0667,0.1724,0.1862,0.0138,0.2,0.0276,0.0742,0.1382,0.6132,0.0334
"X18103_23",0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
"X681_26",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X683_40",0.1167,0.1144,0.1122,-0.0022,0.11,-0.0044,-0.0196,-0.0399,-0.0199,-0.005
"X507_23",0.2889,0.3688,0.3678,-0.0011,0.3667,-0.0022,-0.0029,-0.0059,0.2168,-0.0034
"X516_21",0.0913,0.0911,0.0892,-0.0019,0.0873,-0.0038,-0.021,-0.043,-0.0024,-0.0041
"X521_25",0.2833,0.3068,0.4334,0.1266,0.56,0.2532,0.2921,0.4521,0.0765,0.3652
"X520_40",0.0714,0.0699,0.0707,8e-04,0.0714,0.0015,0.0108,0.0213,-0.0217,0.0016
"X528_6",0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
"X536_24",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X541_18",0.0278,0.0821,0.0827,6e-04,0.0833,0.0013,0.0076,0.0152,0.6615,0.0014
"X551_33",0.1111,0.2643,0.3544,0.0901,0.4444,0.1801,0.2542,0.4053,0.5796,0.2449
"X556_10",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X563_25",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X18072_22",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X564_31",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X566_16",0.2288,0.362,0.4653,0.1033,0.5686,0.2066,0.222,0.3633,0.3681,0.3238
"X570_27",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X18073_29",0,0.0695,0.0681,-0.0014,0.0667,-0.0028,-0.0208,-0.0426,1,-0.003
"X573_24",0,0.0976,0.0988,0.0012,0.1,0.0024,0.0122,0.0241,1,0.0027
"X578_23",0,0.0984,0.0992,8e-04,0.1,0.0016,0.0079,0.0156,1,0.0017
"X594_13",0,0.0976,0.0988,0.0012,0.1,0.0024,0.0122,0.0241,1,0.0027
"X599_22",0.1056,0.1039,0.102,-0.002,0.1,-0.0039,-0.0194,-0.0395,-0.0155,-0.0044
"X18078_16",0.1736,0.3052,0.4998,0.1946,0.6944,0.3892,0.3893,0.5605,0.4312,0.5602
"X684_34",0.1111,0.1094,0.1072,-0.0022,0.1049,-0.0045,-0.0209,-0.0428,-0.0154,-0.005
"X704_24",0.1944,0.1616,0.178,0.0164,0.1944,0.0328,0.0921,0.1687,-0.2029,0.0391
"X703_32",0.3611,0.4238,0.4233,-5e-04,0.4228,-0.001,-0.0012,-0.0023,0.148,-0.0017
"X711_20",0.0667,0.0656,0.0661,5e-04,0.0667,0.0011,0.008,0.016,-0.0162,0.0011
"X713_11",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X714_23",0.0294,0.0299,0.0297,-3e-04,0.0294,-5e-04,-0.009,-0.0182,0.0179,-6e-04
"X717_11",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X720_34",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X726_33",0.0812,0.0811,0.0796,-0.0015,0.0781,-0.0029,-0.0184,-0.0376,-0.0024,-0.0032
"X738_38",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X18123_37",0.1154,0.1064,0.1109,0.0045,0.1154,0.009,0.0406,0.0781,-0.0847,0.0101
"X995_14",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X18126_8",0.2222,0.2598,0.3521,0.0923,0.4444,0.1846,0.2621,0.4154,0.1447,0.2494
"X789_40",0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
"X871_31",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X899_25",0.2056,0.2515,0.2647,0.0131,0.2778,0.0262,0.0496,0.0945,0.1828,0.0351
"X905_9",0.0833,0.0827,0.083,3e-04,0.0833,7e-04,0.0041,0.0082,-0.0083,7e-04
"X932_34",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X981_29",0.1111,0.1459,0.1563,0.0104,0.1667,0.0207,0.0664,0.1245,0.2385,0.0243
"X983_29",0.3389,0.2889,0.2861,-0.0028,0.2833,-0.0056,-0.0097,-0.0196,-0.1731,-0.0078
"X985_18",0,0.0695,0.0681,-0.0014,0.0667,-0.0028,-0.0208,-0.0426,1,-0.003
"X990_11",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X989_33",0.1736,0.1644,0.162,-0.0023,0.1597,-0.0046,-0.0143,-0.029,-0.0563,-0.0056
"X991_21",0.2333,0.2112,0.5015,0.2902,0.7917,0.5804,0.5787,0.7332,-0.1046,0.7359
"X996_10",0.0333,0.0336,0.0335,-2e-04,0.0333,-3e-04,-0.0045,-0.0091,0.009,-3e-04
"X746_31",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X758_6",0.0625,0.0613,0.0619,6e-04,0.0625,0.0012,0.0096,0.0191,-0.0195,0.0013
"X771_20",0.2778,0.3577,0.3548,-0.0029,0.3519,-0.0059,-0.0083,-0.0167,0.2235,-0.0092
"X775_31",0,0.0784,0.0776,-7e-04,0.0769,-0.0015,-0.0093,-0.0189,1,-0.0016
"X782_27",0.1667,0.1574,0.1559,-0.0015,0.1543,-0.0031,-0.0099,-0.02,-0.0588,-0.0037
"X791_8",0.0556,0.0547,0.0551,4e-04,0.0556,8e-04,0.0076,0.0152,-0.0154,9e-04
"X792_19",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X797_27",0,0.0846,0.084,-6e-04,0.0833,-0.0013,-0.0076,-0.0154,1,-0.0014
"X799_38",0.0625,0.1649,0.1762,0.0113,0.1875,0.0226,0.0642,0.1207,0.6209,0.0271
"X802_23",0.1562,0.1366,0.1464,0.0098,0.1562,0.0197,0.0672,0.1259,-0.144,0.0228
"X806_25",0.1278,0.1215,0.1219,4e-04,0.1222,7e-04,0.003,0.006,-0.0518,8e-04
"X808_21",0.0312,0.189,0.1883,-8e-04,0.1875,-0.0015,-0.0041,-0.0082,0.8347,-0.0019
"X18144_30",0.0714,0.1808,0.1975,0.0167,0.2143,0.0335,0.0847,0.1562,0.6049,0.0409
"X822_18",0.2111,0.2717,0.5025,0.2308,0.7333,0.4616,0.4593,0.6295,0.223,0.6339
"X825_20",0.0278,0.1285,0.1337,0.0052,0.1389,0.0104,0.0388,0.0747,0.7839,0.0119
"X842_34",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X841_17",0.1357,0.2063,0.2139,0.0076,0.2214,0.0151,0.0354,0.0683,0.3422,0.0191
"X846_6",0.0588,0.1107,0.1142,0.0035,0.1176,0.0069,0.0304,0.0589,0.4687,0.0078
"X848_33",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X18152_13",0.0294,0.0298,0.0296,-2e-04,0.0294,-4e-04,-0.0071,-0.0143,0.0141,-4e-04
"X853_17",0.2222,0.2593,0.3519,0.0926,0.4444,0.1852,0.2632,0.4167,0.1429,0.25
"X852_28",0,0.1278,0.1306,0.0028,0.1333,0.0055,0.0212,0.0415,1,0.0063
"X854_29",0.0812,0.0811,0.0796,-0.0015,0.0781,-0.0029,-0.0184,-0.0376,-0.0024,-0.0032
"X855_24",0.25,0.2361,0.2931,0.0569,0.35,0.1139,0.1942,0.3253,-0.0587,0.1491
"X18155_22",0.0812,0.0811,0.0796,-0.0015,0.0781,-0.0029,-0.0184,-0.0376,-0.0024,-0.0032
"X877_18",0.15,0.2577,0.2539,-0.0039,0.25,-0.0077,-0.0152,-0.0308,0.4179,-0.0104
"X18159_30",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X885_25",0.05,0.2446,0.2973,0.0527,0.35,0.1054,0.1773,0.3012,0.7956,0.1396
"X916_7",0.1389,0.164,0.1792,0.0152,0.1944,0.0305,0.085,0.1566,0.1531,0.0364
"X919_7",0.0312,0.1439,0.1501,0.0062,0.1563,0.0124,0.0413,0.0793,0.7828,0.0145
"X922_10",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X944_9",0.05,0.2446,0.2973,0.0527,0.35,0.1054,0.1773,0.3012,0.7956,0.1396
"X946_41",0.35,0.3402,0.3701,0.0299,0.4,0.0598,0.0808,0.1495,-0.0288,0.0906
"X21916_17",0,0.0846,0.084,-6e-04,0.0833,-0.0013,-0.0076,-0.0154,1,-0.0014
"X957_28",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X962_37",0.1,0.0934,0.0967,0.0033,0.1,0.0066,0.0343,0.0663,-0.071,0.0073
"X18176_21",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X18177_31",0.0312,0.0317,0.0315,-2e-04,0.0313,-4e-04,-0.0066,-0.0133,0.0131,-4e-04
"X18179_9",0.3492,0.338,0.4984,0.1604,0.6587,0.3208,0.3218,0.4869,-0.0332,0.4845
"X968_25",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X969_39",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X1009_25",0.1,0.0936,0.0968,0.0032,0.1,0.0064,0.0329,0.0636,-0.068,0.007
"X1151_19",0.2222,0.2595,0.352,0.0925,0.4444,0.1849,0.2627,0.4161,0.1437,0.2497
"X1192_8",0,0.1128,0.1152,0.0024,0.1176,0.0049,0.0212,0.0415,1,0.0055
"X1229_16",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X1280_22",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X1299_14",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X1048_16",0.4786,0.5119,0.5059,-0.0059,0.5,-0.0119,-0.0117,-0.0238,0.0651,-0.0244
"X1050_32",0.0278,0.0282,0.028,-2e-04,0.0278,-4e-04,-0.0075,-0.0152,0.0149,-4e-04
"X1059_28",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X1063_17",0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
"X1068_21",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X1069_9",0.0833,0.2057,0.2279,0.0221,0.25,0.0443,0.0971,0.1771,0.5949,0.0557
"X1071_30",0.05,0.1363,0.1432,0.0068,0.15,0.0137,0.0477,0.0911,0.6333,0.0158
"X1079_13",0.1,0.1693,0.1846,0.0154,0.2,0.0307,0.0832,0.1536,0.4093,0.037
"X18197_6",0.1993,0.3485,0.4014,0.0529,0.4542,0.1057,0.1317,0.2328,0.428,0.1623
"X1085_27",0.1214,0.1188,0.1165,-0.0023,0.1143,-0.0045,-0.0194,-0.0396,-0.0221,-0.0051
"X1090_7",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X1094_34",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X18204_35",0.1312,0.2557,0.2841,0.0284,0.3125,0.0568,0.0999,0.1817,0.4867,0.0763
"X1102_17",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X1118_10",0.1961,0.3385,0.465,0.1265,0.5915,0.253,0.272,0.4277,0.4208,0.3824
"X1119_12",0,0.0653,0.0639,-0.0014,0.0625,-0.0028,-0.0219,-0.0448,1,-0.003
"X18209_39",0.1528,0.1454,0.1445,-9e-04,0.1435,-0.0019,-0.0065,-0.0132,-0.0507,-0.0022
"X1146_19",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X1150_28",0.225,0.3431,0.3716,0.0284,0.4,0.0569,0.0766,0.1422,0.3442,0.0866
"X18212_26",0.25,0.2363,0.4432,0.2068,0.65,0.4137,0.4667,0.6364,-0.0578,0.5417
"X1158_15",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X1167_17",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X18214_38",0.1294,0.1266,0.125,-0.0015,0.1235,-0.003,-0.0121,-0.0245,-0.0226,-0.0035
"X1172_35",0.2438,0.2205,0.218,-0.0024,0.2156,-0.0048,-0.0111,-0.0225,-0.1056,-0.0062
