locus,Ho,Hs,Ht,Dst,Htp,Dstp,Fst,Fstp,Fis,Dest
17716_23,0.1,0.1693,0.4846,0.3154,0.8,0.6307,0.6507,0.7884,0.4093,0.7592
8226_36,0.2059,0.1687,0.4814,0.3127,0.7941,0.6254,0.6495,0.7875,-0.2203,0.7523
8470_18,0.2,0.1873,0.5036,0.3164,0.82,0.6327,0.6282,0.7716,-0.068,0.7785
22347_37,0.2222,0.1789,0.4783,0.2995,0.7778,0.5989,0.6261,0.77,-0.2424,0.7294
3479_27,0.0556,0.1911,0.5043,0.3132,0.8175,0.6263,0.621,0.7662,0.7093,0.7743
14673_23,0.1111,0.1835,0.4806,0.2971,0.7778,0.5943,0.6182,0.7641,0.3945,0.7278
13583_26,0.2333,0.1845,0.4756,0.2911,0.7667,0.5821,0.612,0.7593,-0.2644,0.7139
14617_26,0.1611,0.1953,0.4977,0.3023,0.8,0.6047,0.6075,0.7559,0.1751,0.7515
12302_35,0.2278,0.1932,0.4883,0.2951,0.7833,0.5902,0.6044,0.7534,-0.1791,0.7315
9513_39,0.1394,0.2021,0.5025,0.3004,0.8029,0.6007,0.5977,0.7482,0.3103,0.7529
18541_14,0.25,0.1938,0.4719,0.2781,0.75,0.5562,0.5893,0.7416,-0.2899,0.6899
6230_24,0.1144,0.207,0.5005,0.2936,0.7941,0.5871,0.5865,0.7394,0.4474,0.7404
13088_19,0.15,0.1972,0.4736,0.2764,0.75,0.5528,0.5836,0.7371,0.2394,0.6886
20450_11,0.0857,0.2084,0.4988,0.2905,0.7893,0.5809,0.5823,0.736,0.5886,0.7338
18537_16,0.1269,0.2116,0.5039,0.2923,0.7962,0.5845,0.58,0.7342,0.4002,0.7414
991_21,0.2333,0.2112,0.5015,0.2902,0.7917,0.5804,0.5787,0.7332,-0.1046,0.7359
19986_36,0.2333,0.2127,0.5022,0.2895,0.7917,0.579,0.5765,0.7313,-0.0971,0.7354
9320_11,0.1889,0.2134,0.4942,0.2808,0.775,0.5616,0.5682,0.7247,0.1148,0.714
20686_14,0.1696,0.2184,0.4998,0.2814,0.7812,0.5629,0.5631,0.7205,0.2232,0.7201
9925_37,0.2556,0.2126,0.4859,0.2733,0.7593,0.5467,0.5625,0.72,-0.202,0.6943
13815_10,0.2,0.222,0.4943,0.2724,0.7667,0.5447,0.551,0.7105,0.0989,0.7001
9314_18,0.1667,0.2115,0.4669,0.2554,0.7222,0.5107,0.547,0.7071,0.212,0.6477
2802_36,0.2625,0.2263,0.4944,0.2681,0.7625,0.5362,0.5422,0.7032,-0.1599,0.693
7639_19,0.0556,0.217,0.4696,0.2526,0.7222,0.5052,0.5378,0.6995,0.744,0.6452
15801_35,0.2778,0.224,0.48,0.2561,0.7361,0.5122,0.5335,0.6958,-0.2403,0.66
6973_36,0.1778,0.2251,0.4806,0.2555,0.7361,0.511,0.5316,0.6942,0.2102,0.6595
11760_14,0.1778,0.2251,0.4806,0.2555,0.7361,0.511,0.5316,0.6942,0.2102,0.6595
15451_7,0.1979,0.2357,0.5033,0.2676,0.7708,0.5351,0.5316,0.6942,0.1604,0.7002
14314_29,0.2167,0.2298,0.4899,0.2601,0.75,0.5202,0.5309,0.6936,0.0571,0.6754
12124_17,0.1429,0.2193,0.4668,0.2475,0.7143,0.495,0.5303,0.693,0.3485,0.634
7780_7,0.3,0.2151,0.4575,0.2425,0.7,0.4849,0.53,0.6928,-0.395,0.6178
14081_10,0.3,0.2151,0.4575,0.2425,0.7,0.4849,0.53,0.6928,-0.395,0.6178
14753_35,0.1611,0.2386,0.5054,0.2668,0.7722,0.5337,0.528,0.6911,0.3246,0.7009
11553_35,0.1528,0.2282,0.4822,0.2539,0.7361,0.5079,0.5267,0.69,0.3305,0.6581
18329_36,0.125,0.2221,0.4652,0.2431,0.7083,0.4862,0.5226,0.6864,0.4372,0.6251
15490_11,0.2,0.2195,0.4597,0.2403,0.7,0.4805,0.5226,0.6864,0.0888,0.6156
8745_13,0.2,0.22,0.46,0.24,0.7,0.48,0.5217,0.6857,0.0909,0.6154
9684_7,0.15,0.2402,0.4901,0.2499,0.74,0.4998,0.51,0.6755,0.3754,0.6578
1542_40,0.1833,0.2486,0.4993,0.2507,0.75,0.5014,0.5021,0.6685,0.2625,0.6673
6770_23,0.0889,0.2496,0.4933,0.2437,0.737,0.4874,0.494,0.6614,0.6439,0.6496
21776_11,0.1961,0.2413,0.4752,0.2339,0.7092,0.4678,0.4922,0.6597,0.1875,0.6166
18937_29,0.1979,0.2434,0.4759,0.2325,0.7083,0.4649,0.4885,0.6563,0.187,0.6145
215_36,0.2,0.2458,0.4766,0.2308,0.7074,0.4616,0.4843,0.6525,0.1863,0.612
17919_31,0.1333,0.252,0.4885,0.2365,0.725,0.473,0.4842,0.6524,0.4709,0.6324
11774_30,0.1111,0.2374,0.452,0.2146,0.6667,0.4293,0.4749,0.6439,0.5319,0.5629
18015_36,0.1111,0.2377,0.4522,0.2145,0.6667,0.429,0.4743,0.6435,0.5326,0.5627
1987_25,0.1111,0.2377,0.4522,0.2145,0.6667,0.429,0.4743,0.6435,0.5326,0.5627
9805_30,0.1111,0.2377,0.4522,0.2145,0.6667,0.429,0.4743,0.6435,0.5326,0.5627
16533_8,0.15,0.2573,0.489,0.2316,0.7206,0.4632,0.4737,0.6429,0.4171,0.6238
18905_34,0.1667,0.2402,0.4534,0.2132,0.6667,0.4265,0.4703,0.6397,0.3061,0.5613
3533_26,0.25,0.2361,0.4431,0.2069,0.65,0.4139,0.467,0.6367,-0.0587,0.5418
18212_26,0.25,0.2363,0.4432,0.2068,0.65,0.4137,0.4667,0.6364,-0.0578,0.5417
1783_16,0.2353,0.2387,0.4429,0.2042,0.6471,0.4084,0.4611,0.6312,0.0141,0.5364
3458_17,0.15,0.2404,0.4452,0.2048,0.65,0.4096,0.4601,0.6302,0.3759,0.5393
822_18,0.2111,0.2717,0.5025,0.2308,0.7333,0.4616,0.4593,0.6295,0.223,0.6339
12951_18,0.3611,0.2555,0.4564,0.201,0.6574,0.4019,0.4403,0.6114,-0.4135,0.5399
5639_34,0.2333,0.2763,0.4923,0.216,0.7083,0.432,0.4388,0.6099,0.1555,0.597
21035_40,0.2833,0.268,0.474,0.206,0.68,0.412,0.4346,0.6058,-0.0571,0.5628
18312_15,0.25,0.2467,0.4358,0.1892,0.625,0.3783,0.434,0.6053,-0.0136,0.5022
12017_35,0.2516,0.2624,0.4596,0.1972,0.6569,0.3945,0.4292,0.6006,0.0409,0.5348
14246_41,0.2333,0.2771,0.4848,0.2077,0.6926,0.4155,0.4285,0.5999,0.1579,0.5748
5494_24,0.2778,0.2468,0.429,0.1821,0.6111,0.3643,0.4246,0.5961,-0.1254,0.4837
15506_24,0.2,0.2762,0.477,0.2008,0.6778,0.4016,0.421,0.5925,0.2758,0.5548
6109_30,0.1944,0.2682,0.4628,0.1946,0.6574,0.3892,0.4204,0.592,0.2751,0.5318
13601_35,0.3794,0.2618,0.4515,0.1897,0.6412,0.3794,0.4202,0.5917,-0.4494,0.5139
11513_7,0.1667,0.2507,0.4309,0.1802,0.6111,0.3604,0.4183,0.5898,0.3351,0.481
20624_31,0.25,0.2492,0.4282,0.179,0.6071,0.358,0.4181,0.5896,-0.0034,0.4768
3216_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3219_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3221_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3222_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3225_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3228_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3230_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3232_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3233_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3236_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3237_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
3243_24,0.1538,0.2533,0.4343,0.1811,0.6154,0.3621,0.4169,0.5884,0.3926,0.4849
17029_34,0.2778,0.2643,0.453,0.1887,0.6417,0.3774,0.4166,0.5882,-0.0512,0.513
9318_15,0.25,0.2774,0.4751,0.1977,0.6728,0.3955,0.4162,0.5878,0.0986,0.5473
15317_17,0.3,0.2476,0.4238,0.1762,0.6,0.3524,0.4158,0.5873,-0.2117,0.4684
19579_29,0.3,0.2478,0.4239,0.1761,0.6,0.3522,0.4155,0.5871,-0.2108,0.4683
13012_18,0.3,0.248,0.424,0.176,0.6,0.352,0.4152,0.5867,-0.2099,0.4681
19107_26,0.1667,0.2532,0.4321,0.179,0.6111,0.358,0.4142,0.5857,0.3416,0.4793
4423_23,0.1964,0.2973,0.5058,0.2085,0.7143,0.417,0.4122,0.5838,0.3393,0.5934
20603_34,0.2958,0.2814,0.4782,0.1968,0.675,0.3936,0.4116,0.5831,-0.0513,0.5477
20604_34,0.2958,0.2814,0.4782,0.1968,0.675,0.3936,0.4116,0.5831,-0.0513,0.5477
1560_36,0.2,0.2518,0.4259,0.1741,0.6,0.3482,0.4088,0.5803,0.2057,0.4654
9144_29,0.2,0.2518,0.4259,0.1741,0.6,0.3482,0.4088,0.5803,0.2057,0.4654
13740_30,0.0556,0.2571,0.4341,0.177,0.6111,0.354,0.4077,0.5792,0.784,0.4765
7485_35,0.1389,0.295,0.4975,0.2025,0.7,0.405,0.407,0.5785,0.5293,0.5744
1561_6,0.2,0.2531,0.4266,0.1734,0.6,0.3469,0.4066,0.5781,0.2099,0.4644
15162_20,0.2,0.2537,0.4268,0.1732,0.6,0.3463,0.4057,0.5772,0.2115,0.4641
20135_12,0.3538,0.3012,0.5044,0.2033,0.7077,0.4065,0.403,0.5744,-0.1749,0.5817
4857_32,0.2361,0.3023,0.4983,0.1961,0.6944,0.3922,0.3935,0.5648,0.2188,0.5621
23946_17,0.1714,0.2942,0.4828,0.1886,0.6714,0.3772,0.3907,0.5618,0.4173,0.5345
18078_16,0.1736,0.3052,0.4998,0.1946,0.6944,0.3892,0.3893,0.5605,0.4312,0.5602
7760_40,0.1,0.2974,0.4869,0.1895,0.6765,0.3791,0.3893,0.5604,0.6637,0.5395
14863_22,0.1389,0.2577,0.4205,0.1628,0.5833,0.3256,0.3872,0.5582,0.461,0.4387
16236_27,0.25,0.2578,0.4206,0.1628,0.5833,0.3255,0.387,0.558,0.0303,0.4386
15152_19,0.3,0.3134,0.5067,0.1933,0.7,0.3866,0.3815,0.5523,0.0428,0.5631
126_38,0.3441,0.2848,0.4586,0.1738,0.6324,0.3475,0.3789,0.5496,-0.2082,0.4859
7334_38,0.3441,0.2848,0.4586,0.1738,0.6324,0.3475,0.3789,0.5496,-0.2082,0.4859
9630_9,0.2143,0.2578,0.4146,0.1568,0.5714,0.3136,0.3782,0.5488,0.1688,0.4226
12204_9,0.2611,0.3147,0.5046,0.1899,0.6944,0.3798,0.3764,0.5469,0.1702,0.5542
17459_35,0.0833,0.2647,0.424,0.1593,0.5833,0.3186,0.3757,0.5462,0.6852,0.4333
18538_29,0.3125,0.2554,0.4089,0.1536,0.5625,0.3071,0.3755,0.546,-0.2236,0.4124
16145_12,0.1667,0.3081,0.4929,0.1848,0.6778,0.3697,0.375,0.5454,0.459,0.5343
14206_30,0.1429,0.2612,0.4163,0.1551,0.5714,0.3103,0.3727,0.543,0.453,0.4199
9911_37,0.1278,0.3052,0.4859,0.1808,0.6667,0.3615,0.372,0.5423,0.5813,0.5203
10259_39,0.0938,0.3216,0.5112,0.1897,0.7009,0.3793,0.371,0.5412,0.7084,0.5591
14514_27,0.3833,0.3168,0.5017,0.1849,0.6867,0.3698,0.3686,0.5386,-0.2099,0.5414
17140_26,0.1429,0.264,0.4177,0.1537,0.5714,0.3074,0.368,0.538,0.4589,0.4177
318_38,0.0833,0.2697,0.4265,0.1568,0.5833,0.3137,0.3677,0.5377,0.691,0.4295
12296_37,0.1429,0.2644,0.4179,0.1535,0.5714,0.3071,0.3674,0.5374,0.4596,0.4174
3076_19,0.1736,0.2993,0.4725,0.1733,0.6458,0.3466,0.3667,0.5366,0.4199,0.4946
16941_37,0.3278,0.2757,0.4351,0.1594,0.5944,0.3187,0.3663,0.5362,-0.1889,0.4401
1968_34,0.2222,0.2593,0.4074,0.1481,0.5556,0.2963,0.3636,0.5333,0.1429,0.4
2470_16,0.2222,0.2595,0.4075,0.148,0.5556,0.296,0.3632,0.5329,0.1437,0.3998
5869_25,0.2222,0.2595,0.4075,0.148,0.5556,0.296,0.3632,0.5329,0.1437,0.3998
7153_37,0.2765,0.3114,0.488,0.1767,0.6647,0.3533,0.362,0.5316,0.1121,0.5131
17695_16,0.0714,0.2677,0.4196,0.1519,0.5714,0.3037,0.362,0.5316,0.7332,0.4148
4826_15,0.25,0.2578,0.4039,0.1461,0.55,0.2922,0.3617,0.5312,0.0304,0.3937
4004_12,0.15,0.2973,0.4653,0.168,0.6333,0.3361,0.3611,0.5306,0.4954,0.4782
10644_22,0.0625,0.2674,0.415,0.1475,0.5625,0.2951,0.3556,0.5246,0.7663,0.4028
9003_14,0.15,0.262,0.406,0.144,0.55,0.288,0.3546,0.5235,0.4276,0.3902
9132_13,0.1111,0.2647,0.4101,0.1454,0.5556,0.2909,0.3546,0.5236,0.5802,0.3956
15335_11,0,0.2724,0.4219,0.1495,0.5714,0.2991,0.3544,0.5234,1,0.411
20671_32,0.15,0.2624,0.4062,0.1438,0.55,0.2876,0.354,0.5229,0.4283,0.3899
17122_12,0.2667,0.3152,0.4876,0.1724,0.66,0.3448,0.3536,0.5225,0.1538,0.5035
7135_29,0.1889,0.325,0.5028,0.1778,0.6806,0.3555,0.3535,0.5224,0.4189,0.5267
8972_18,0.1111,0.2656,0.4106,0.145,0.5556,0.29,0.3531,0.522,0.5816,0.3948
16810_18,0.1111,0.2656,0.4106,0.145,0.5556,0.29,0.3531,0.522,0.5816,0.3948
12484_18,0.2944,0.3153,0.4854,0.1701,0.6556,0.3403,0.3505,0.5191,0.066,0.497
20608_22,0.2375,0.2963,0.4544,0.1581,0.6125,0.3162,0.3479,0.5162,0.1985,0.4493
13181_20,0.1818,0.2645,0.405,0.1405,0.5455,0.281,0.3469,0.5151,0.3126,0.382
17805_9,0.3556,0.3198,0.4877,0.1679,0.6556,0.3357,0.3442,0.5122,-0.1118,0.4936
4615_30,0.2288,0.3242,0.4922,0.168,0.6601,0.3359,0.3413,0.5089,0.2944,0.4971
4605_30,0.2288,0.3242,0.4922,0.168,0.6601,0.3359,0.3413,0.5089,0.2944,0.4971
73_37,0.3278,0.2954,0.4477,0.1523,0.6,0.3046,0.3402,0.5077,-0.1097,0.4323
21130_37,0.2288,0.3371,0.5084,0.1713,0.6797,0.3426,0.337,0.5041,0.3214,0.5169
7835_27,0.2111,0.3259,0.4907,0.1648,0.6556,0.3297,0.3359,0.5029,0.3522,0.489
2152_26,0.5,0.25,0.375,0.125,0.5,0.25,0.3333,0.5,-1,0.3333
15146_26,0.5,0.25,0.375,0.125,0.5,0.25,0.3333,0.5,-1,0.3333
1326_24,0.0972,0.3022,0.452,0.1498,0.6019,0.2996,0.3314,0.4978,0.6783,0.4294
19778_12,0.1071,0.2721,0.4039,0.1318,0.5357,0.2636,0.3263,0.492,0.6063,0.3621
2307_26,0.3056,0.341,0.5038,0.1628,0.6667,0.3256,0.3231,0.4885,0.104,0.4942
11017_28,0.375,0.2565,0.3782,0.1218,0.5,0.2435,0.3219,0.4871,-0.4622,0.3275
18179_9,0.3492,0.338,0.4984,0.1604,0.6587,0.3208,0.3218,0.4869,-0.0332,0.4845
7756_40,0.3556,0.3021,0.4455,0.1434,0.5889,0.2867,0.3218,0.4869,-0.1768,0.4109
4840_28,0.1875,0.3472,0.5104,0.1632,0.6736,0.3264,0.3198,0.4846,0.4599,0.5
9997_33,0.1429,0.3412,0.5009,0.1598,0.6607,0.3196,0.319,0.4837,0.5812,0.485
8369_26,0.3,0.2588,0.3794,0.1206,0.5,0.2412,0.3178,0.4823,-0.159,0.3254
5072_16,0.3333,0.259,0.3795,0.1205,0.5,0.241,0.3176,0.4821,-0.2871,0.3253
14416_14,0.3,0.2597,0.3799,0.1201,0.5,0.2403,0.3163,0.4806,-0.1552,0.3246
13485_17,0.3318,0.3427,0.5009,0.1582,0.6591,0.3164,0.3158,0.48,0.0318,0.4813
13702_10,0.2778,0.2601,0.3801,0.1199,0.5,0.2399,0.3156,0.4798,-0.068,0.3242
8632_37,0.3051,0.3355,0.4894,0.154,0.6434,0.3079,0.3146,0.4786,0.0904,0.4634
20175_31,0.2778,0.2612,0.3806,0.1194,0.5,0.2388,0.3138,0.4777,-0.0636,0.3233
10531_39,0.2,0.2627,0.3813,0.1187,0.5,0.2373,0.3112,0.4747,0.2385,0.3219
12626_20,0.2,0.2627,0.3813,0.1187,0.5,0.2373,0.3112,0.4747,0.2385,0.3219
1850_20,0.2,0.2641,0.382,0.118,0.5,0.2359,0.3088,0.4719,0.2426,0.3206
21474_37,0.25,0.264,0.382,0.118,0.5,0.236,0.3088,0.4719,0.0532,0.3206
19668_25,0.2273,0.2644,0.3822,0.1178,0.5,0.2356,0.3082,0.4712,0.1404,0.3203
16373_33,0.1389,0.2925,0.4225,0.13,0.5525,0.26,0.3077,0.4705,0.5252,0.3674
13195_14,0.3547,0.3467,0.5003,0.1536,0.6538,0.3071,0.307,0.4697,-0.023,0.4701
6565_7,0.1667,0.2652,0.3826,0.1174,0.5,0.2348,0.3069,0.4697,0.3714,0.3196
5291_31,0.1471,0.2652,0.3826,0.1174,0.5,0.2348,0.3068,0.4696,0.4455,0.3195
3145_34,0.1667,0.2655,0.3827,0.1173,0.5,0.2345,0.3064,0.469,0.3722,0.3193
19608_12,0.2143,0.2663,0.3832,0.1168,0.5,0.2337,0.3049,0.4673,0.1955,0.3185
13124_14,0.1111,0.2664,0.3832,0.1168,0.5,0.2336,0.3048,0.4672,0.5829,0.3184
4251_20,0.1405,0.2945,0.4234,0.1289,0.5523,0.2578,0.3044,0.4667,0.5229,0.3654
8224_24,0.1,0.2669,0.3834,0.1166,0.5,0.2331,0.304,0.4663,0.6253,0.318
16307_31,0.1,0.2669,0.3834,0.1166,0.5,0.2331,0.304,0.4663,0.6253,0.318
9368_8,0.1794,0.2921,0.4196,0.1275,0.5471,0.2549,0.3038,0.466,0.3858,0.3601
15280_19,0.0778,0.2944,0.4208,0.1264,0.5472,0.2528,0.3004,0.4621,0.7358,0.3583
16242_20,0.125,0.269,0.3845,0.1155,0.5,0.231,0.3004,0.462,0.5353,0.316
10959_11,0.1813,0.2943,0.4206,0.1263,0.5469,0.2526,0.3002,0.4618,0.3842,0.3579
13379_33,0.125,0.2694,0.3847,0.1153,0.5,0.2306,0.2997,0.4612,0.536,0.3156
13380_33,0.125,0.2694,0.3847,0.1153,0.5,0.2306,0.2997,0.4612,0.536,0.3156
12383_26,0,0.2711,0.3855,0.1145,0.5,0.2289,0.2969,0.4578,1,0.314
16290_32,0.0556,0.2711,0.3856,0.1144,0.5,0.2289,0.2968,0.4578,0.7951,0.314
16780_32,0.0556,0.2711,0.3856,0.1144,0.5,0.2289,0.2968,0.4578,0.7951,0.314
15811_39,0.25,0.2728,0.3864,0.1136,0.5,0.2272,0.294,0.4543,0.0837,0.3124
521_25,0.2833,0.3068,0.4334,0.1266,0.56,0.2532,0.2921,0.4521,0.0765,0.3652
12449_16,0.3333,0.3552,0.5017,0.1465,0.6481,0.2929,0.2919,0.4519,0.0616,0.4543
9517_39,0.4833,0.3137,0.443,0.1293,0.5722,0.2585,0.2918,0.4518,-0.5409,0.3767
13214_32,0.3611,0.3386,0.4776,0.1391,0.6167,0.2781,0.2911,0.451,-0.0666,0.4205
4577_11,0.25,0.2597,0.366,0.1063,0.4722,0.2125,0.2904,0.45,0.0374,0.2871
10360_14,0.2812,0.2586,0.3637,0.1051,0.4687,0.2101,0.2889,0.4483,-0.0875,0.2834
10901_30,0.2812,0.2586,0.3637,0.1051,0.4687,0.2101,0.2889,0.4483,-0.0875,0.2834
6313_32,0.2353,0.2605,0.3655,0.1051,0.4706,0.2101,0.2874,0.4465,0.0967,0.2841
16787_17,0.45,0.2494,0.3497,0.1003,0.45,0.2006,0.2868,0.4458,-0.8043,0.2673
4301_30,0.2667,0.2594,0.363,0.1036,0.4667,0.2073,0.2855,0.4442,-0.028,0.2799
17943_30,0.2667,0.2594,0.363,0.1036,0.4667,0.2073,0.2855,0.4442,-0.028,0.2799
6391_26,0.2,0.3257,0.4557,0.13,0.5857,0.26,0.2853,0.444,0.3859,0.3856
3066_13,0.2188,0.2614,0.3651,0.1037,0.4687,0.2074,0.284,0.4424,0.1631,0.2808
7499_39,0.2056,0.3451,0.4809,0.1358,0.6167,0.2716,0.2823,0.4404,0.4044,0.4147
8842_29,0.3676,0.344,0.4794,0.1353,0.6147,0.2707,0.2823,0.4403,-0.0687,0.4126
382_29,0.1389,0.2644,0.3683,0.1039,0.4722,0.2078,0.2821,0.4401,0.4747,0.2825
10208_11,0.2167,0.3583,0.4992,0.1408,0.64,0.2817,0.2821,0.4401,0.3953,0.439
14172_30,0.1389,0.2644,0.3683,0.1039,0.4722,0.2078,0.2821,0.4401,0.4747,0.2825
7210_24,0.1741,0.3644,0.5059,0.1415,0.6473,0.2829,0.2797,0.4371,0.5222,0.4451
9297_28,0.35,0.2536,0.3518,0.0982,0.45,0.1964,0.2791,0.4364,-0.38,0.2631
1224_21,0.35,0.2543,0.3521,0.0979,0.45,0.1957,0.2779,0.4349,-0.3763,0.2624
5541_36,0.2808,0.3599,0.4973,0.1373,0.6346,0.2747,0.2762,0.4328,0.22,0.4291
4010_9,0.1333,0.2655,0.3661,0.1006,0.4667,0.2012,0.2748,0.4312,0.4977,0.2739
17108_18,0.2431,0.3161,0.4358,0.1197,0.5556,0.2394,0.2747,0.431,0.2312,0.3501
1118_10,0.1961,0.3385,0.465,0.1265,0.5915,0.253,0.272,0.4277,0.4208,0.3824
9079_40,0.1765,0.2696,0.3701,0.1005,0.4706,0.201,0.2716,0.4271,0.3454,0.2752
3070_21,0.3278,0.2865,0.3933,0.1067,0.5,0.2135,0.2714,0.4269,-0.1439,0.2992
9986_22,0.3278,0.2865,0.3933,0.1067,0.5,0.2135,0.2714,0.4269,-0.1439,0.2992
15062_25,0.3278,0.2865,0.3933,0.1067,0.5,0.2135,0.2714,0.4269,-0.1439,0.2992
3288_36,0.3125,0.3528,0.4827,0.1298,0.6125,0.2597,0.269,0.4239,0.1144,0.4012
15505_20,0.2778,0.256,0.3502,0.0942,0.4444,0.1884,0.269,0.4239,-0.085,0.2533
26154_25,0.2639,0.3685,0.5037,0.1352,0.6389,0.2704,0.2684,0.4232,0.2839,0.4282
23343_31,0.0667,0.2699,0.3683,0.0984,0.4667,0.1967,0.2671,0.4216,0.753,0.2695
486_30,0.3072,0.2901,0.3951,0.1049,0.5,0.2099,0.2656,0.4197,-0.0587,0.2956
5358_20,0.1562,0.3751,0.5104,0.1354,0.6458,0.2708,0.2652,0.4193,0.5834,0.4333
10588_34,0.2278,0.2908,0.3954,0.1046,0.5,0.2092,0.2646,0.4185,0.2166,0.295
14902_13,0.15,0.262,0.356,0.094,0.45,0.188,0.264,0.4177,0.4276,0.2547
6732_22,0.15,0.2624,0.3562,0.0938,0.45,0.1876,0.2634,0.4169,0.4283,0.2544
853_17,0.2222,0.2593,0.3519,0.0926,0.4444,0.1852,0.2632,0.4167,0.1429,0.25
1151_19,0.2222,0.2595,0.352,0.0925,0.4444,0.1849,0.2627,0.4161,0.1437,0.2497
8414_19,0.2222,0.2595,0.352,0.0925,0.4444,0.1849,0.2627,0.4161,0.1437,0.2497
14669_19,0.2222,0.2595,0.352,0.0925,0.4444,0.1849,0.2627,0.4161,0.1437,0.2497
17833_19,0.2222,0.2595,0.352,0.0925,0.4444,0.1849,0.2627,0.4161,0.1437,0.2497
18126_8,0.2222,0.2598,0.3521,0.0923,0.4444,0.1846,0.2621,0.4154,0.1447,0.2494
317_13,0.25,0.3182,0.4312,0.113,0.5441,0.2259,0.262,0.4152,0.2143,0.3313
20313_12,0.3,0.3742,0.5071,0.1329,0.64,0.2658,0.262,0.4152,0.1984,0.4247
21801_38,0.3765,0.3697,0.4996,0.1298,0.6294,0.2597,0.2599,0.4126,-0.0182,0.412
16560_10,0.2222,0.3721,0.5027,0.1306,0.6333,0.2612,0.2598,0.4125,0.4028,0.4161
4627_15,0.0312,0.2757,0.3722,0.0965,0.4688,0.193,0.2593,0.4118,0.8867,0.2665
